alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.5,6,PolySHAP_regression,500,1.2940167570423091,0.0028467371846798129,0.17986222206471747,151.234
0.5,6,PolySHAP_regression,1000,0.83154000061464672,0.0018293239460893567,0.14418217648296955,151.234
0.5,6,PolySHAP_regression,1500,0.53525116035772735,0.0011775113212722796,0.11567747839983021,151.234
0.5,6,PolySHAP_regression,2000,0.42541970219219827,0.00093589057385471417,0.10312852444791866,151.234
0.5,6,PolySHAP_regression,2500,0.27626703784807011,0.0006077662018388625,0.083106413387907405,151.234
0.5,6,PolySHAP_regression,3000,0.27079029916616715,0.00059571779862329451,0.08227853595655539,151.234
0.5,6,PolySHAP_regression,3500,0.29937389548091103,0.00065859950866161191,0.086512122774919681,151.234
0.5,6,PolySHAP_regression,4000,0.24548741423707016,0.00054005340091335067,0.078340189915054176,151.234
0.5,6,PolySHAP_regression,4500,0.20212088918546223,0.00044465038641380622,0.071084613170759786,151.234
0.5,6,PolySHAP_regression,5000,0.15690014766867993,0.0003451682385250449,0.06262989455297685,151.234
0.5,7,EaseSHAP_order2,500,0.63090986816507111,0.0013879531096583962,0.12558959632121916,31.7647
0.5,7,EaseSHAP_order2,1000,0.31549646683998839,0.00069406792369623932,0.088811101057242339,31.7647
0.5,7,EaseSHAP_order2,1500,0.16177772438534543,0.000355898531571788,0.063595936266664363,31.7647
0.5,7,EaseSHAP_order2,2000,0.10535100272138916,0.00023176409057929759,0.051320318276826087,31.7647
0.5,7,EaseSHAP_order2,2500,0.083499744902284331,0.00018369300662529175,0.04568909741455951,31.7647
0.5,7,EaseSHAP_order2,3000,0.049656735635412508,0.00010924099323585656,0.035233767764536801,31.7647
0.5,7,EaseSHAP_order2,3500,0.044759988525327227,9.8468526800325388e-05,0.033451453079547687,31.7647
0.5,7,EaseSHAP_order2,4000,0.039413682568366859,8.6707065532125863e-05,0.031390158715896475,31.7647
0.5,7,EaseSHAP_order2,4500,0.034016613755987024,7.4833929892372284e-05,0.029161881693396872,31.7647
0.5,7,EaseSHAP_order2,5000,0.029590188037487804,6.5096134288491407e-05,0.027198431957324212,31.7647
0.5,7,PolySHAP_regression,500,1.6645660287317934,0.0036619170382124113,0.20399546739644694,147.272
0.5,7,PolySHAP_regression,1000,0.73778758494559105,0.0016230758535618092,0.13581122789975714,147.272
0.5,7,PolySHAP_regression,1500,0.54817320301551864,0.0012059388197074876,0.11706549481118664,147.272
0.5,7,PolySHAP_regression,2000,0.43650273835670916,0.00096027239966721618,0.10446323974929042,147.272
0.5,7,PolySHAP_regression,2500,0.30251898069756322,0.00066551845386576412,0.086965363895283504,147.272
0.5,7,PolySHAP_regression,3000,0.28952336033970644,0.00063692909015825592,0.085076929942803303,147.272
0.5,7,PolySHAP_regression,3500,0.24904336148553594,0.00054787621093793247,0.078905538697472924,147.272
0.5,7,PolySHAP_regression,4000,0.19100547285478406,0.00042019732673004805,0.069102364803019595,147.272
0.5,7,PolySHAP_regression,4500,0.16608068895989786,0.00036536472216945566,0.064436148426154763,147.272
0.5,7,PolySHAP_regression,5000,0.11835296938017001,0.00026036741565996994,0.054395075461885802,147.272
0.5,8,EaseSHAP_order2,500,0.63170267372294109,0.0013896972208142424,0.12566847991072991,31.8301
0.5,8,EaseSHAP_order2,1000,0.28038305543818337,0.00061682112347168072,0.083723212945721243,31.8301
0.5,8,EaseSHAP_order2,1500,0.16696456409462851,0.00036730917937911558,0.064607384271193904,31.8301
0.5,8,EaseSHAP_order2,2000,0.11900275857459591,0.00026179690183308825,0.054544192764811351,31.8301
0.5,8,EaseSHAP_order2,2500,0.072317759654612873,0.00015909350045209105,0.042519924639694763,31.8301
0.5,8,EaseSHAP_order2,3000,0.050137424884629148,0.00011029847255563642,0.035403892753703349,31.8301
0.5,8,EaseSHAP_order2,3500,0.047279002093068047,0.00010401016260447927,0.034379864053348169,31.8301
0.5,8,EaseSHAP_order2,4000,0.03898858976445093,8.5771894109297277e-05,0.031220421907963918,31.8301
0.5,8,EaseSHAP_order2,4500,0.032777362541205293,7.2107672681961639e-05,0.028625758741562334,31.8301
0.5,8,EaseSHAP_order2,5000,0.032919424479792229,7.242019800352509e-05,0.028687725807299641,31.8301
0.5,8,PolySHAP_regression,500,1.7152364558738595,0.0037733880746761319,0.20707706632277384,151.222
0.5,8,PolySHAP_regression,1000,0.58707977878160011,0.0012915302893380816,0.12114864617295566,151.222
