mask,n_states,n_train,utility,log_loss,mode,elapsed_sec
65552,2,1000,-0.4691497897755364,0.4691497897755364,ridge_fixed,0.0030543750035576522
65600,2,1000,-0.4682470212268279,0.4682470212268279,ridge_fixed,0.0032688750070519745
65664,2,1000,-0.4624662921006196,0.4624662921006196,ridge_fixed,0.0033427090384066105
65792,2,1000,-0.46290748877193216,0.46290748877193216,ridge_fixed,0.0029631659854203463
66048,2,1000,-0.4677995080769629,0.4677995080769629,ridge_fixed,0.003142624977044761
66560,2,1000,-0.4688916019043245,0.4688916019043245,ridge_fixed,0.0029428330017253757
69632,2,1000,-0.46727086368901677,0.46727086368901677,ridge_fixed,0.0029634999809786677
73728,2,1000,-0.48618948923538846,0.48618948923538846,ridge_fixed,0.0037693330086767673
98304,2,1000,-0.48479317275051154,0.48479317275051154,ridge_fixed,0.0030115420231595635
131076,2,1000,-0.5081890648482015,0.5081890648482015,ridge_fixed,0.0032087909639813006
131080,2,1000,-0.5231598005649737,0.5231598005649737,ridge_fixed,0.003092665981967002
131088,2,1000,-0.4878001418262055,0.4878001418262055,ridge_fixed,0.002956500044092536
131104,2,1000,-0.48316091113457005,0.48316091113457005,ridge_fixed,0.0036043329746462405
131136,2,1000,-0.4637601785675307,0.4637601785675307,ridge_fixed,0.003069708007387817
131328,2,1000,-0.4693432160133128,0.4693432160133128,ridge_fixed,0.003052957996260375
131584,2,1000,-0.4959476802151087,0.4959476802151087,ridge_fixed,0.0032076670322567225
132096,2,1000,-0.5064374821881064,0.5064374821881064,ridge_fixed,0.003524041036143899
135168,2,1000,-0.48079913765302706,0.48079913765302706,ridge_fixed,0.003167750022839755
147456,2,1000,-0.5127341239436057,0.5127341239436057,ridge_fixed,0.0036069159978069365
163840,2,1000,-0.5034525072812348,0.5034525072812348,ridge_fixed,0.0034106660168617964
196608,2,1000,-0.49290133656603097,0.49290133656603097,ridge_fixed,0.0029177090036682785
262146,2,1000,-0.468718585932582,0.468718585932582,ridge_fixed,0.0030758329667150974
262148,2,1000,-0.4779327775575664,0.4779327775575664,ridge_fixed,0.0031642919639125466
262152,2,1000,-0.48173017213079095,0.48173017213079095,ridge_fixed,0.003194332995917648
262160,2,1000,-0.46004761037709896,0.46004761037709896,ridge_fixed,0.002948082983493805
262176,2,1000,-0.45686321220431775,0.45686321220431775,ridge_fixed,0.0032285000197589397
262208,2,1000,-0.4625264417103217,0.4625264417103217,ridge_fixed,0.0032827919931150973
262272,2,1000,-0.4555392664284771,0.4555392664284771,ridge_fixed,0.0030300829675979912
262656,2,1000,-0.46531409354140485,0.46531409354140485,ridge_fixed,0.003086458018515259
263168,2,1000,-0.47989531398708707,0.47989531398708707,ridge_fixed,0.0032565000001341105
264192,2,1000,-0.48063019662630724,0.48063019662630724,ridge_fixed,0.003291958011686802
266240,2,1000,-0.4536993093373628,0.4536993093373628,ridge_fixed,0.0032744579948484898
270336,2,1000,-0.4529801625573517,0.4529801625573517,ridge_fixed,0.0032579590333625674
278528,2,1000,-0.4666101835895903,0.4666101835895903,ridge_fixed,0.0034923329949378967
294912,2,1000,-0.46866916344615367,0.46866916344615367,ridge_fixed,0.002993249974679202
327680,2,1000,-0.4737742850996508,0.4737742850996508,ridge_fixed,0.0030016659875400364
393216,2,1000,-0.48133551428497673,0.48133551428497673,ridge_fixed,0.0032622500439174473
524290,2,1000,-0.48123875296641894,0.48123875296641894,ridge_fixed,0.0029512090259231627
524292,2,1000,-0.46397243932392096,0.46397243932392096,ridge_fixed,0.003094333049375564
524296,2,1000,-0.467936881213094,0.467936881213094,ridge_fixed,0.0031367919873446226
524304,2,1000,-0.4647203520896274,0.4647203520896274,ridge_fixed,0.003624624980147928
524320,2,1000,-0.4615191077747792,0.4615191077747792,ridge_fixed,0.003154665988404304
