method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
GELS,GELS,11,2037,17,8500,0.07305738110799753,0.01647494521857573,0.00027165230431899784,0.0002488631552315268,0.9887824596584882,0.9854021608643457,5,10,13,0.00035596879016600724,0.00033373066666375254,0.9875780888818155,0.984921968787515,5,10,14
GELS,GELS,11,2037,18,9000,0.07414349588017233,0.015388830446400936,0.0002535251514967837,0.00023160025774185877,0.9885048240771012,0.9847298919567826,5,10,13,0.0003364597337622698,0.0003167169140274468,0.987379101522029,0.9844417767106842,5,10,14
GELS,GELS,11,2037,19,9500,0.06767172069199434,0.021860605634578922,0.0003679062549318593,0.0003500396049790439,0.9898219425457853,0.9854981992797118,5,10,13,0.0004552389564922748,0.0004365920772558479,0.9888257910029351,0.9851140456182472,5,10,14
GELS,GELS,11,2037,20,10000,0.06254546982847398,0.026986856498099288,0.0004627054865419463,0.00044919491908531706,0.9917603236877923,0.9900120048019206,5,10,13,0.0005516654776556885,0.0005388597526123723,0.9907529174982085,0.9897238895558224,5,10,14
kernelSHAP,kernelSHAP,11,2037,1,500,0.08953232632657279,4.718447854656915e-16,0.007109926106063198,0.0060862576225213716,0.12297441691267114,0.10914765906362545,2,3,6,0.007116511585844994,0.006099983779797721,0.1152255843568798,0.13767106842737095,1,2,6
kernelSHAP,kernelSHAP,11,2037,2,1000,0.08953232632657385,5.828670879282072e-16,0.004323130534028299,0.0034785520341651345,0.1752355366789715,0.24360144057623048,1,4,8,0.004324602054787838,0.0034303713909473897,0.17124615060548684,0.2620408163265306,2,4,7
kernelSHAP,kernelSHAP,11,2037,3,1500,0.08953232632657374,4.718447854656915e-16,0.003472160991179759,0.0027621467518481498,0.310845164569362,0.36509003601440576,1,4,7,0.003525410223127881,0.0027232906257473742,0.25695302906049144,0.32849939975990394,1,4,7
kernelSHAP,kernelSHAP,11,2037,4,2000,0.08953232632657293,3.3306690738754696e-16,0.002869401209806103,0.00217801151400209,0.34462193749650327,0.4385594237695078,1,1,8,0.002953183495080558,0.002247068681054467,0.2565914770812049,0.3387755102040816,0,1,7
kernelSHAP,kernelSHAP,11,2037,5,2500,0.08953232632657326,0.0,0.0022865938180930074,0.0018799155353730135,0.39669840385853333,0.4730372148859544,2,3,9,0.0024016028229287595,0.0019655427820359406,0.27493454898680764,0.32984393757503,1,2,7
kernelSHAP,kernelSHAP,11,2037,6,3000,0.08953232632657362,3.608224830031759e-16,0.0021784944332128593,0.001728619187606556,0.3908911694299132,0.4919567827130852,2,3,8,0.0023077391378103704,0.0018331342559351088,0.25090377391274427,0.3274429771908764,1,2,6
kernelSHAP,kernelSHAP,11,2037,7,3500,0.08953232632657301,2.498001805406602e-16,0.002101690931486504,0.0015652220430286967,0.4914055735149045,0.5652340936374549,2,3,9,0.0022119955712217015,0.001667905590758501,0.386086138341677,0.45258103241296516,0,2,7
kernelSHAP,kernelSHAP,11,2037,8,4000,0.08953232632657374,4.718447854656915e-16,0.0020665708635875576,0.0015852886823455841,0.47637745951639837,0.5248019207683073,1,4,10,0.0021509140891960037,0.0016399269564881546,0.3959896791791422,0.44153661464585836,0,3,8
kernelSHAP,kernelSHAP,11,2037,9,4500,0.08953232632657357,3.0531133177191805e-16,0.0019002647603382366,0.00148550836624407,0.5138875276351623,0.5456422569027611,2,5,9,0.001967542351904505,0.0014662937978958618,0.45392141725948987,0.5060744297719088,1,4,8
kernelSHAP,kernelSHAP,11,2037,10,5000,0.08953232632657374,4.718447854656915e-16,0.0018161168983267402,0.0013893961848361774,0.5532291714786275,0.5826170468187275,2,4,10,0.0018734479813639728,0.0013820905233489463,0.5071234213247294,0.5411284513805522,1,4,8
kernelSHAP,kernelSHAP,11,2037,11,5500,0.08953232632657351,2.498001805406602e-16,0.0018007261316819673,0.0014318058618007549,0.5565077623962225,0.5674429771908763,1,4,8,0.0018687637098685182,0.0014793660246694667,0.4999082891077658,0.5116446578631452,0,3,6
kernelSHAP,kernelSHAP,11,2037,12,6000,0.08953232632657314,1.249000902703301e-16,0.001616390978111481,0.0013098335533401947,0.593430345631166,0.6198799519807922,1,4,10,0.0016862773886043843,0.0013516422815012259,0.5371478532328969,0.5575510204081632,0,3,7
kernelSHAP,kernelSHAP,11,2037,13,6500,0.08953232632657354,2.7755575615628914e-16,0.0015346470564200653,0.0012381188072087667,0.5596405868194829,0.6015366146458584,1,3,10,0.001599507937713902,0.0012857580028707446,0.5018216802873041,0.5384393757503001,0,3,7
kernelSHAP,kernelSHAP,11,2037,14,7000,0.08953232632657307,1.942890293094024e-16,0.001603486198710118,0.001290634134412846,0.5607992062310182,0.5938535414165665,1,3,8,0.001663402198530278,0.0013494835554739334,0.509505374994762,0.5474669867947178,1,3,6
kernelSHAP,kernelSHAP,11,2037,15,7500,0.08953232632657282,4.440892098500626e-16,0.0014759936236637863,0.0011841911972421942,0.5844255555870427,0.6223769507803122,1,3,9,0.0015472467531351495,0.0012581383794122941,0.5226838723463775,0.5658103241296518,0,3,7
kernelSHAP,kernelSHAP,11,2037,16,8000,0.0895323263265729,3.608224830031759e-16,0.0014621522617192682,0.0012109051119952646,0.589407483737042,0.6140216086434573,1,4,9,0.001526149236693979,0.0012460659894503365,0.5351847497539587,0.5552460984393757,0,4,7
kernelSHAP,kernelSHAP,11,2037,17,8500,0.08953232632657328,1.3877787807814457e-17,0.0014550998367350472,0.0011740112683394893,0.5684100262854335,0.6127731092436973,2,5,8,0.001521071811219908,0.0012396979975168837,0.5088977035083684,0.541032412965186,0,5,6
kernelSHAP,kernelSHAP,11,2037,18,9000,0.08953232632657292,3.469446951953614e-16,0.0013812228395578986,0.001113464905433494,0.5944860369926508,0.6150780312124849,2,4,9,0.0014652492415491577,0.001177988340709626,0.5194893772265459,0.5393997599039616,0,4,7
kernelSHAP,kernelSHAP,11,2037,19,9500,0.08953232632657314,1.249000902703301e-16,0.0014016497189187846,0.0011490715805192184,0.5949810077766995,0.6142136854741896,1,4,9,0.001473113480226102,0.0011961041917840324,0.5328803656187192,0.5450660264105642,0,4,7
kernelSHAP,kernelSHAP,11,2037,20,10000,0.08953232632657292,3.469446951953614e-16,0.0013993448599193608,0.0011691049439904047,0.5850757873898587,0.592797118847539,2,4,9,0.0014612423822116544,0.0012124024928356633,0.5306646504847957,0.5387274909963985,1,4,7
group_testing,Group testing,11,2037,1,500,-2.250139738901916,2.3396720652284895,0.08693210114751489,0.07157038523236464,0.07083719990794905,0.07822328931572628,0,0,4,0.09238129583271575,0.07534195655073236,-0.039120557902720024,0.023001200480192076,0,1,4
group_testing,Group testing,11,2037,2,1000,-1.251707980422867,1.3412403067494403,0.059103414524437174,0.04298814743613172,-0.018900328484837855,0.016470588235294115,0,0,3,0.06285652449304494,0.04626619723015918,0.04869199511208853,0.10040816326530612,0,1,4
group_testing,Group testing,11,2037,3,1500,-1.1413956007903092,1.2309279271168825,0.04886925145690037,0.038139857418266414,-0.028081697493296864,0.014837935174069627,0,3,5,0.05287178898455983,0.04098369522529156,0.03514637915972418,0.1051140456182473,1,2,4
group_testing,Group testing,11,2037,4,2000,-2.6445705128710792,2.7341028391976527,0.058630331313049906,0.04816210682644459,-0.035135321590424,-0.024921968787515004,0,2,4,0.06735850483150747,0.057072042078018345,0.003408603344294172,0.018967587034813924,0,2,4
group_testing,Group testing,11,2037,5,2500,-3.8856401288439155,3.9751724551704886,0.07766512352564248,0.06923779261362333,-0.02085395378488008,-0.01944777911164466,0,2,3,0.08775609717316671,0.0800554419959415,0.0791448098686894,0.07755102040816325,0,3,4
group_testing,Group testing,11,2037,6,3000,-3.858237560413493,3.9477698867400663,0.07489377423637553,0.06824876323286659,0.05589765460286974,0.04825930372148859,0,1,3,0.08539193802406196,0.07906641261518478,-0.023929294567442184,-0.0003361344537815126,0,2,5
group_testing,Group testing,11,2037,7,3500,-4.089779346840608,4.179311673167181,0.0777688283525668,0.07210458014998823,0.08892026109809206,0.09829531812725088,0,3,4,0.08855534003329421,0.08358535608599402,-0.009310530659115981,0.01282112845138055,0,1,4
group_testing,Group testing,11,2037,8,4000,-4.324569839711814,4.414102166038387,0.08093657319066616,0.07680039000741233,0.08474884851788218,0.08043217286914765,0,3,4,0.09193069900977562,0.08828116594341814,-0.05308943623285011,-0.06813925570228091,0,2,3
